Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
Cheshire East,E06000049,Upper tier local authority,2020-04-30,15,NA,NA,887,NA,NA
County Durham,E06000047,Upper tier local authority,2020-04-30,26,NA,NA,1447,NA,NA
Isle of Wight,E06000046,Upper tier local authority,2020-04-30,1,NA,NA,123,NA,NA
Southampton,E06000045,Upper tier local authority,2020-04-30,14,NA,NA,483,NA,NA
Portsmouth,E06000044,Upper tier local authority,2020-04-30,2,NA,NA,286,NA,NA
Milton Keynes,E06000042,Upper tier local authority,2020-04-30,7,NA,NA,469,NA,NA
West Berkshire,E06000037,Upper tier local authority,2020-04-30,2,NA,NA,319,NA,NA
Medway,E06000035,Upper tier local authority,2020-04-30,4,NA,NA,630,NA,NA
Swindon,E06000030,Upper tier local authority,2020-04-30,2,NA,NA,369,NA,NA
Torbay,E06000027,Upper tier local authority,2020-04-30,1,NA,NA,203,NA,NA
Plymouth,E06000026,Upper tier local authority,2020-04-30,3,NA,NA,292,NA,NA
South Gloucestershire,E06000025,Upper tier local authority,2020-04-30,4,NA,NA,349,NA,NA
North Somerset,E06000024,Upper tier local authority,2020-04-30,5,NA,NA,245,NA,NA
"Bristol, City of",E06000023,Upper tier local authority,2020-04-30,4,NA,NA,616,NA,NA
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-30,1,NA,NA,212,NA,NA
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-30,14,NA,NA,483,NA,NA
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-30,1,NA,NA,267,NA,NA
Nottingham,E06000018,Upper tier local authority,2020-04-30,8,NA,NA,526,NA,NA
Leicester,E06000016,Upper tier local authority,2020-04-30,2,NA,NA,676,NA,NA
Derby,E06000015,Upper tier local authority,2020-04-30,4,NA,NA,495,NA,NA
York,E06000014,Upper tier local authority,2020-04-30,12,NA,NA,300,NA,NA
